gene,ensembl_base,gene_length,gene_type
AC234917.1,ENSG00000264144,86,miRNA
EPPK1,ENSG00000261150,21141,protein_coding
PLEC,ENSG00000178209,61588,protein_coding
MIR661,ENSG00000207574,89,miRNA
PARP10,ENSG00000178685,35620,protein_coding
GRINA,ENSG00000178719,3358,protein_coding
SPATC1,ENSG00000186583,34672,protein_coding
CTD-3065J16.6,ENSG00000204791,2394,antisense
OPLAH,ENSG00000178814,12567,protein_coding
MIR6846,ENSG00000277888,60,miRNA
CTD-3065J16.9,ENSG00000255224,1264,antisense
EXOSC4,ENSG00000178896,2022,protein_coding
MIR6847,ENSG00000276472,69,miRNA
GPAA1,ENSG00000197858,3627,protein_coding
CYC1,ENSG00000179091,2499,protein_coding
SHARPIN,ENSG00000179526,9492,protein_coding
MAF1,ENSG00000179632,3113,protein_coding
KIAA1875,ENSG00000179698,10590,protein_coding
HGH1,ENSG00000235173,3075,protein_coding
TSSK5P,ENSG00000227473,2451,unitary_pseudogene
MROH1,ENSG00000179832,113925,protein_coding
AC104592.1,ENSG00000264721,92,miRNA
BOP1,ENSG00000261236,29269,protein_coding
MIR7112,ENSG00000277158,65,miRNA
SCX,ENSG00000260428,1922,protein_coding
HSF1,ENSG00000185122,23132,protein_coding
DGAT1,ENSG00000185000,12327,protein_coding
GS1-393G12.12,ENSG00000254690,549,antisense
MIR6848,ENSG00000276987,70,miRNA
SCRT1,ENSG00000261678,5717,protein_coding
TMEM249,ENSG00000261587,2696,protein_coding
GS1-393G12.13,ENSG00000271698,2382,protein_coding
SLC52A2,ENSG00000185803,7138,protein_coding
FBXL6,ENSG00000182325,3946,protein_coding
ADCK5,ENSG00000173137,20142,protein_coding
CPSF1,ENSG00000071894,16121,protein_coding
MIR939,ENSG00000216133,82,miRNA
MIR1234,ENSG00000266624,80,miRNA
MIR6849,ENSG00000274683,69,miRNA
GS1-393G12.14,ENSG00000272115,485,antisense
SLC39A4,ENSG00000147804,7154,protein_coding
VPS28,ENSG00000160948,4963,protein_coding
TONSL,ENSG00000160949,15670,protein_coding
MIR6893,ENSG00000276598,69,miRNA
TONSL-AS1,ENSG00000232600,2297,antisense
CYHR1,ENSG00000187954,16096,protein_coding
CTD-2517M22.16,ENSG00000254578,1285,antisense
KIFC2,ENSG00000167702,8160,protein_coding
FOXH1,ENSG00000160973,2924,protein_coding
PPP1R16A,ENSG00000160972,24153,protein_coding
CTD-2517M22.14,ENSG00000255182,9987,processed_transcript
GPT,ENSG00000167701,4202,protein_coding
MFSD3,ENSG00000167700,2140,protein_coding
RECQL4,ENSG00000160957,6558,protein_coding
CTD-2517M22.17,ENSG00000265393,1106,antisense
LRRC14,ENSG00000160959,7187,protein_coding
LRRC24,ENSG00000254402,4656,protein_coding
C8ORF82,ENSG00000213563,3400,protein_coding
ARHGAP39,ENSG00000147799,76638,protein_coding
AC084125.1,ENSG00000265295,86,miRNA
CTD-2517M22.9,ENSG00000255456,2449,antisense
METAZOA_SRP,ENSG00000274772,296,misc_RNA
AF186192.1,ENSG00000254533,572,lincRNA
AF186192.5,ENSG00000255085,8165,transcribed_unprocessed_pseudogene
AF186192.6,ENSG00000263612,947,lincRNA
ZNF251,ENSG00000198169,35511,protein_coding
ZNF34,ENSG00000196378,14232,protein_coding
RN7SL395P,ENSG00000244307,291,misc_RNA
RPL8,ENSG00000161016,2823,protein_coding
MIR6850,ENSG00000274673,61,miRNA
ZNF517,ENSG00000197363,12294,protein_coding
ZNF7,ENSG00000147789,20046,protein_coding
COMMD5,ENSG00000170619,12695,protein_coding
AF235103.1,ENSG00000263640,110,miRNA
ZNF250,ENSG00000196150,25672,protein_coding
ZNF16,ENSG00000170631,20531,protein_coding
ZNF252P,ENSG00000196922,29307,unitary_pseudogene
RP5-1047A19.4,ENSG00000255164,1924,antisense
TMED10P1,ENSG00000254618,655,processed_pseudogene
ZNF252P-AS1,ENSG00000255559,3236,antisense
RP5-1047A19.6,ENSG00000255530,346,processed_pseudogene
AC139103.1,ENSG00000255000,1030,processed_pseudogene
C8ORF33,ENSG00000182307,3653,protein_coding
DDX11L5,ENSG00000236875,1650,unprocessed_pseudogene
WASH1,ENSG00000181404,15219,protein_coding
AL928970.1,ENSG00000275076,68,miRNA
XXYAC-YRM2039.3,ENSG00000227518,3235,antisense
MIR1302-9,ENSG00000278579,138,miRNA
FAM138C,ENSG00000218839,1478,lincRNA
PGM5P3-AS1,ENSG00000277631,16153,lincRNA
RP11-143M1.3,ENSG00000227917,2138,lincRNA
LINC01388,ENSG00000231808,1042,lincRNA
FOXD4,ENSG00000170122,1974,protein_coding
CBWD1,ENSG00000172785,58110,protein_coding
C9ORF66,ENSG00000183784,2918,protein_coding
DOCK8,ENSG00000107099,250406,protein_coding
RP11-59O6.3,ENSG00000235880,5037,antisense
RP11-165F24.3,ENSG00000227155,39757,antisense
KANK1,ENSG00000107104,275816,protein_coding
RP11-165F24.2,ENSG00000235330,674,transcribed_processed_pseudogene
RP11-165F24.5,ENSG00000228115,7837,sense_intronic
RP11-31F19.1,ENSG00000226403,2215,sense_intronic
RNU6-1327P,ENSG00000202172,105,snRNA
EIF1P1,ENSG00000229875,341,processed_pseudogene
RP11-130C19.3,ENSG00000227914,12078,antisense
DMRT1,ENSG00000137090,127401,protein_coding
DMRT3,ENSG00000064218,14768,protein_coding
RNU6-1073P,ENSG00000252991,106,snRNA
RP11-147I11.1,ENSG00000228783,715,processed_pseudogene
LINC01230,ENSG00000281769,3017,lincRNA
DMRT2,ENSG00000173253,7199,protein_coding
RP11-341G2.3,ENSG00000224836,334,processed_pseudogene
RPS27AP14,ENSG00000236594,454,processed_pseudogene
RP11-459D20.1,ENSG00000233575,324,processed_pseudogene
RNA5SP279,ENSG00000202383,117,rRNA
RP11-443B9.1,ENSG00000224092,764,processed_pseudogene
SMARCA2,ENSG00000080503,178406,protein_coding
RP11-264I13.2,ENSG00000236199,4124,antisense
RNU2-25P,ENSG00000222973,191,snRNA
RN7SL592P,ENSG00000264615,281,misc_RNA
VLDLR-AS1,ENSG00000236404,220658,antisense
RP11-91N2.3,ENSG00000231052,539,lincRNA
VLDLR,ENSG00000147852,38220,protein_coding
KCNV2,ENSG00000168263,12536,protein_coding
KIAA0020,ENSG00000080608,123773,protein_coding
GPS2P1,ENSG00000236496,986,processed_pseudogene
ATP5HP2,ENSG00000229184,485,processed_pseudogene
CARM1P1,ENSG00000227835,146336,transcribed_unprocessed_pseudogene
AL589675.1,ENSG00000221450,87,miRNA
LINC01231,ENSG00000236511,16929,lincRNA
RFX3,ENSG00000080298,307708,protein_coding
RP11-62E14.2,ENSG00000215297,464,processed_pseudogene
AL365202.1,ENSG00000279745,1683,protein_coding
RFX3-AS1,ENSG00000232104,165092,lincRNA
RP11-509J21.2,ENSG00000237359,1004,lincRNA
RP11-509J21.4,ENSG00000226669,5551,lincRNA
GLIS3,ENSG00000107249,524266,protein_coding
RP11-252M18.3,ENSG00000236724,3226,antisense
GLIS3-AS1,ENSG00000237009,2607,antisense
RP11-70J12.1,ENSG00000230001,979,sense_intronic
RP11-358M14.2,ENSG00000228322,6657,antisense
AL162419.1,ENSG00000221730,72,miRNA
RNU6-694P,ENSG00000200941,147,snRNA
SLC1A1,ENSG00000106688,97026,protein_coding
SPATA6L,ENSG00000106686,113289,protein_coding
RP11-6J24.3,ENSG00000225893,730,processed_pseudogene
PPAPDC2,ENSG00000205808,2944,protein_coding
CDC37L1-AS1,ENSG00000273061,2903,lincRNA
CDC37L1,ENSG00000106993,28840,protein_coding
AK3,ENSG00000147853,32485,protein_coding
AL136231.1,ENSG00000276893,96,miRNA
ECM1P1,ENSG00000270639,1279,processed_pseudogene
RP11-307I14.2,ENSG00000220105,604,processed_pseudogene
RCL1,ENSG00000120158,93049,protein_coding
KLF4P1,ENSG00000233186,1185,processed_pseudogene
MIR101-2,ENSG00000199065,91,miRNA
RP11-125K10.5,ENSG00000228165,75,antisense
HNRNPA1P41,ENSG00000220937,1233,processed_pseudogene
AL158147.1,ENSG00000238362,89,miRNA
JAK2,ENSG00000096968,143151,protein_coding
CSNK1G2P1,ENSG00000234534,996,processed_pseudogene
PDSS1P1,ENSG00000182347,1114,processed_pseudogene
MTND6P5,ENSG00000227730,512,unprocessed_pseudogene
MTND1P11,ENSG00000228166,876,unprocessed_pseudogene
RP11-39K24.4,ENSG00000224083,1528,unprocessed_pseudogene
RP11-39K24.14,ENSG00000235917,985,unprocessed_pseudogene
RP11-39K24.12,ENSG00000228097,670,unprocessed_pseudogene
RP11-39K24.13,ENSG00000237711,774,unprocessed_pseudogene
MTND4P14,ENSG00000236254,1354,unprocessed_pseudogene
MTND5P14,ENSG00000230225,1267,unprocessed_pseudogene
TCF3P1,ENSG00000236567,1937,processed_pseudogene
IGHEP2,ENSG00000254017,1256,IG_C_pseudogene
INSL6,ENSG00000120210,53690,protein_coding
RP11-140C18.2,ENSG00000237553,220,processed_pseudogene
INSL4,ENSG00000120211,3886,protein_coding
RLN2,ENSG00000107014,5102,protein_coding
HMGN2P31,ENSG00000214195,273,processed_pseudogene
RLN1,ENSG00000107018,4905,protein_coding
RP11-12D24.10,ENSG00000272866,615,lincRNA
RP11-12D24.6,ENSG00000231967,214,processed_pseudogene
PLGRKT,ENSG00000107020,79906,protein_coding
RNF152P1,ENSG00000214190,604,processed_pseudogene
CD274,ENSG00000120217,20064,protein_coding
PDCD1LG2,ENSG00000197646,60685,protein_coding
RP11-574F11.3,ENSG00000231509,4505,lincRNA
RIC1,ENSG00000107036,147533,protein_coding
RP11-207C16.4,ENSG00000225408,1224,antisense
ERMP1,ENSG00000099219,68042,protein_coding
AK4P4,ENSG00000223621,646,processed_pseudogene
KIAA2026,ENSG00000183354,126306,protein_coding
MLANA,ENSG00000120215,19805,protein_coding
MIR4665,ENSG00000263575,79,miRNA
RANBP6,ENSG00000137040,4583,protein_coding
RP11-218I7.2,ENSG00000228739,19355,lincRNA
GTF3AP1,ENSG00000237274,1315,processed_pseudogene
IL33,ENSG00000137033,42198,protein_coding
RP11-279E1.1,ENSG00000228132,335,processed_pseudogene
RP11-307L3.2,ENSG00000233846,487,processed_pseudogene
TPD52L3,ENSG00000170777,3526,protein_coding
UHRF2,ENSG00000147854,93904,protein_coding
RP11-307L3.4,ENSG00000233367,34414,antisense
GLDC,ENSG00000178445,113187,protein_coding
RN7SL25P,ENSG00000264530,260,misc_RNA
RP11-472F14.4,ENSG00000237158,517,processed_pseudogene
RPL23AP57,ENSG00000206147,466,processed_pseudogene
RP11-390F4.6,ENSG00000236924,24680,lincRNA
RN7SL123P,ENSG00000266863,292,misc_RNA
RPS3AP54,ENSG00000229057,1369,processed_pseudogene
RNF2P1,ENSG00000231381,1010,processed_pseudogene
RP11-390F4.2,ENSG00000232946,331,processed_pseudogene
RP11-390F4.10,ENSG00000229611,3310,lincRNA
RP11-390F4.3,ENSG00000225489,10944,lincRNA
RP11-146B14.1,ENSG00000274527,356401,protein_coding
SLMO2P11,ENSG00000231108,479,processed_pseudogene
SNRPEP2,ENSG00000256968,279,processed_pseudogene
KDM4C,ENSG00000107077,418008,protein_coding
ACTG1P14,ENSG00000230581,1122,processed_pseudogene
RP11-403H13.1,ENSG00000224972,76190,sense_intronic
RPL4P5,ENSG00000230207,1276,processed_pseudogene
PPIAP33,ENSG00000178654,555,processed_pseudogene
AL591509.1,ENSG00000276273,95,miRNA
RP11-77E14.2,ENSG00000273056,584,lincRNA
TMEM261,ENSG00000137038,91891,protein_coding
RP11-29B9.1,ENSG00000226376,4311,lincRNA
RP11-29B9.2,ENSG00000231902,668,lincRNA
PTPRD,ENSG00000153707,2298478,protein_coding
RP11-134K1.3,ENSG00000235389,958,sense_intronic
RP11-134K1.2,ENSG00000212695,531,processed_pseudogene
RNU7-185P,ENSG00000239102,60,snRNA
PTPRD-AS1,ENSG00000225706,4126,lincRNA
CLOSTRIDIALES-1,ENSG00000280796,142,sRNA
RP11-75C9.2,ENSG00000234021,26999,lincRNA
RPS26P3,ENSG00000212829,348,processed_pseudogene
AL353733.1,ENSG00000221708,98,miRNA
RN7SL5P,ENSG00000265735,321,misc_RNA
RP11-527D15.1,ENSG00000230920,4362,lincRNA
RP11-87N24.1,ENSG00000234360,267,processed_pseudogene
PTPRD-AS2,ENSG00000226717,7219,lincRNA
RP11-87N24.3,ENSG00000232035,454,lincRNA
RP11-421B23.2,ENSG00000227138,169,processed_pseudogene
IMP3P1,ENSG00000230589,557,processed_pseudogene
RP11-109M17.2,ENSG00000270372,110,lincRNA
AKAP8P1,ENSG00000234146,1349,processed_pseudogene
RP11-23D5.1,ENSG00000230365,1001,lincRNA
RP11-32D4.1,ENSG00000275130,126,unprocessed_pseudogene
RP11-74C3.1,ENSG00000224935,60488,lincRNA
JKAMPP1,ENSG00000231491,919,processed_pseudogene
RNU2-47P,ENSG00000222581,186,snRNA
TYRP1,ENSG00000107165,24852,protein_coding
LURAP1L-AS1,ENSG00000235448,114246,antisense
RN7SL849P,ENSG00000243115,295,misc_RNA
LURAP1L,ENSG00000153714,47111,protein_coding
Y_RNA,ENSG00000222658,97,misc_RNA
PRDX1P1,ENSG00000214121,596,processed_pseudogene
RP11-382H24.2,ENSG00000234586,1199,processed_pseudogene
MPDZ,ENSG00000107186,173887,protein_coding
RP11-272P10.2,ENSG00000234740,4678,sense_intronic
RP11-272P10.3,ENSG00000223672,645,processed_pseudogene
LINC01235,ENSG00000270547,26674,lincRNA
RP11-536O18.1,ENSG00000226197,41021,lincRNA
LINC00583,ENSG00000205636,17640,lincRNA
PES1P2,ENSG00000229268,1735,processed_pseudogene
RP11-284P20.3,ENSG00000235533,4145,lincRNA
RPL3P11,ENSG00000223568,1146,processed_pseudogene
ATP5HP3,ENSG00000213954,486,processed_pseudogene
NFIB,ENSG00000147862,317141,protein_coding
RP11-280O24.3,ENSG00000234982,792,processed_pseudogene
RP11-120J1.1,ENSG00000225472,40824,antisense
RP11-408A13.2,ENSG00000237137,127,processed_pseudogene
RP11-408A13.3,ENSG00000273399,561,lincRNA
RP11-408A13.4,ENSG00000272871,1269,lincRNA
CDCA4P1,ENSG00000229029,624,processed_pseudogene
ZDHHC21,ENSG00000175893,82401,protein_coding
CER1,ENSG00000147869,2994,protein_coding
FREM1,ENSG00000164946,176330,protein_coding
RNU6-1260P,ENSG00000199814,107,snRNA
LDHAP4,ENSG00000214110,998,processed_pseudogene
CLCN3P1,ENSG00000232000,159100,transcribed_unprocessed_pseudogene
RP11-54D18.2,ENSG00000215237,26418,unprocessed_pseudogene
RP11-54D18.4,ENSG00000234297,996,processed_pseudogene
RNU6-559P,ENSG00000251960,98,snRNA
TTC39B,ENSG00000155158,143739,protein_coding
RPL7P33,ENSG00000215236,742,processed_pseudogene
SNAPC3,ENSG00000164975,43250,protein_coding
RNU6-319P,ENSG00000251834,108,snRNA
PSIP1,ENSG00000164985,46954,protein_coding
RP11-518K17.4,ENSG00000278754,132,processed_pseudogene
RN7SL98P,ENSG00000240613,300,misc_RNA
FTH1P12,ENSG00000213362,551,processed_pseudogene
RNU6-246P,ENSG00000207433,107,snRNA
CCDC171,ENSG00000164989,508767,protein_coding
HMGN2P16,ENSG00000231376,261,processed_pseudogene
RNU6-14P,ENSG00000207360,106,snRNA
C9ORF92,ENSG00000205549,72379,protein_coding
CLOSTRIDIALES-1,ENSG00000281869,135,sRNA
BNC2,ENSG00000173068,461341,protein_coding
RP11-183I6.2,ENSG00000231756,3050,antisense
RP11-62F24.1,ENSG00000230694,715,antisense
RP11-62F24.2,ENSG00000234779,711,antisense
LSM1P1,ENSG00000233551,273,processed_pseudogene
RP11-132E11.2,ENSG00000237153,63897,lincRNA
RN7SL720P,ENSG00000241152,304,misc_RNA
RP11-132E11.3,ENSG00000226470,146,processed_pseudogene
RP11-132E11.4,ENSG00000237083,301,processed_pseudogene
CNTLN,ENSG00000044459,368942,protein_coding
SAMM50P1,ENSG00000224488,1399,processed_pseudogene
SH3GL2,ENSG00000107295,218048,protein_coding
PABPC1P11,ENSG00000228810,2158,processed_pseudogene
RP11-570H19.2,ENSG00000227167,1624,lincRNA
ADAMTSL1,ENSG00000178031,437057,protein_coding
MIR3152,ENSG00000264638,74,miRNA
RN7SKP258,ENSG00000252960,304,misc_RNA
RAP1BP1,ENSG00000236857,553,processed_pseudogene
SAXO1,ENSG00000155875,121697,protein_coding
RP11-296P7.4,ENSG00000236680,1238,processed_pseudogene
RRAGA,ENSG00000155876,1589,protein_coding
HAUS6,ENSG00000147874,49977,protein_coding
SCARNA8,ENSG00000251733,131,scaRNA
RNU6-264P,ENSG00000252943,104,snRNA
Y_RNA,ENSG00000201118,96,misc_RNA
PLIN2,ENSG00000147872,40916,protein_coding
RP11-146N23.1,ENSG00000232176,712,processed_pseudogene
DENND4C,ENSG00000137145,143111,protein_coding
RP11-146N23.4,ENSG00000232978,1240,antisense
RP11-513M16.7,ENSG00000272842,560,antisense
RP11-513M16.8,ENSG00000273226,546,antisense
RPS6,ENSG00000137154,4540,protein_coding
NDUFA5P3,ENSG00000234853,671,processed_pseudogene
ACER2,ENSG00000177076,42962,protein_coding
RP11-363E7.4,ENSG00000260912,1965,sense_overlapping
MAP1LC3BP1,ENSG00000231909,3599,transcribed_processed_pseudogene
SLC24A2,ENSG00000155886,279477,protein_coding
C11ORF98P1,ENSG00000232158,318,processed_pseudogene
AL158077.1,ENSG00000266224,95,miRNA
RP11-471J7.1,ENSG00000276667,174,unprocessed_pseudogene
RP11-378I6.1,ENSG00000261402,3844,lincRNA
RP11-378I6.2,ENSG00000270712,754,processed_pseudogene
RP11-378I6.3,ENSG00000277711,756,processed_pseudogene
AL512635.1,ENSG00000281142,132,miRNA
RP11-15P13.1,ENSG00000237434,832,processed_pseudogene
MLLT3,ENSG00000171843,280879,protein_coding
MIR4473,ENSG00000263790,91,miRNA
RNU4-26P,ENSG00000222202,107,snRNA
MIR4474,ENSG00000264941,78,miRNA
RP11-73E6.2,ENSG00000237088,788,processed_pseudogene
AL163193.1,ENSG00000252324,85,miRNA
FOCAD,ENSG00000188352,337647,protein_coding
FOCAD-AS1,ENSG00000227071,1385,lincRNA
MIR491,ENSG00000207609,110,miRNA
SNORA30,ENSG00000202189,129,snoRNA
HACD4,ENSG00000188921,32122,protein_coding
IFNNP1,ENSG00000230208,553,processed_pseudogene
IFNB1,ENSG00000171855,859,protein_coding
IFNWP4,ENSG00000225027,294,processed_pseudogene
RP11-113D19.9,ENSG00000275980,753,processed_pseudogene
IFNW1,ENSG00000177047,1932,protein_coding
Y_RNA,ENSG00000199635,102,misc_RNA
IFNA21,ENSG00000137080,1024,protein_coding
IFNWP15,ENSG00000232281,600,unprocessed_pseudogene
IFNA4,ENSG00000236637,978,protein_coding
IFNWP9,ENSG00000226597,591,unprocessed_pseudogene
IFNA7,ENSG00000214042,737,protein_coding
IFNA10,ENSG00000186803,963,protein_coding
IFNA17,ENSG00000234829,21695,protein_coding
IFNWP18,ENSG00000223684,591,unprocessed_pseudogene
IFNA16,ENSG00000147885,939,protein_coding
IFNWP5,ENSG00000232138,588,unprocessed_pseudogene
IFNA14,ENSG00000228083,990,protein_coding
IFNA22P,ENSG00000224416,570,unprocessed_pseudogene
IFNA5,ENSG00000147873,987,protein_coding
IFNA20P,ENSG00000226393,528,unprocessed_pseudogene
KLHL9,ENSG00000198642,5710,protein_coding
IFNA6,ENSG00000120235,1544,protein_coding
IFNA13,ENSG00000233816,1539,protein_coding
IFNA2,ENSG00000188379,1135,protein_coding
RP11-354P17.15,ENSG00000261696,1459,lincRNA
IFNA11P,ENSG00000231195,526,unprocessed_pseudogene
IFNA12P,ENSG00000235108,571,unprocessed_pseudogene
IFNA8,ENSG00000120242,1039,protein_coding
IFNA1,ENSG00000197919,32148,protein_coding
IFNWP2,ENSG00000237691,580,unprocessed_pseudogene
IFNWP19,ENSG00000238271,566,unprocessed_pseudogene
MIR31HG,ENSG00000171889,104028,sense_overlapping
IFNE,ENSG00000184995,1475,protein_coding
MIR31,ENSG00000199177,71,miRNA
SNORD39,ENSG00000264379,76,snoRNA
RP11-344A7.1,ENSG00000227443,392,processed_pseudogene
KHSRPP1,ENSG00000229835,1768,processed_pseudogene
RN7SL151P,ENSG00000244230,283,misc_RNA
MTAP,ENSG00000099810,135109,protein_coding
RP11-145E5.5,ENSG00000264545,230351,protein_coding
TUBB8P1,ENSG00000229298,727,processed_pseudogene
RP11-70L8.4,ENSG00000265194,3017,antisense
RP11-70L8.5,ENSG00000279670,1670,TEC
ERVFRD-3,ENSG00000264801,1617,transcribed_processed_pseudogene
CDKN2A-AS1,ENSG00000224854,823,lincRNA
CDKN2A,ENSG00000147889,27549,protein_coding
CDKN2B-AS1,ENSG00000240498,126320,antisense
RP11-149I2.4,ENSG00000266446,532,sense_intronic
CDKN2B,ENSG00000147883,6461,protein_coding
UBA52P6,ENSG00000215221,382,processed_pseudogene
CDKN2B-AS_3,ENSG00000274055,144,misc_RNA
CDKN2B-AS,ENSG00000277653,150,misc_RNA
RP11-408N14.1,ENSG00000236921,10683,lincRNA
DMRTA1,ENSG00000176399,8900,protein_coding
LINC01239,ENSG00000234840,178014,lincRNA
CLIC4P1,ENSG00000236739,535,processed_pseudogene
RP11-370B11.3,ENSG00000224549,1142,lincRNA
SUMO2P2,ENSG00000227607,255,processed_pseudogene
RP11-315I14.2,ENSG00000233906,612,lincRNA
NOP56P2,ENSG00000226626,769,processed_pseudogene
ELAVL2,ENSG00000107105,136234,protein_coding
RP11-321L2.1,ENSG00000231460,20245,lincRNA
RP11-321L2.2,ENSG00000237414,3065,lincRNA
RP11-321L2.3,ENSG00000277608,685,unprocessed_pseudogene
IZUMO3,ENSG00000205442,2995,protein_coding
RP11-20A20.2,ENSG00000269957,46042,lincRNA
AL157830.1,ENSG00000216088,87,miRNA
RMRPP5,ENSG00000223088,267,ribozyme
RN7SKP120,ENSG00000222693,341,misc_RNA
TUSC1,ENSG00000198680,2052,protein_coding
LINC01241,ENSG00000236306,32913,lincRNA
FAM71BP1,ENSG00000270683,523,processed_pseudogene
RP11-80I3.1,ENSG00000276759,51734,lincRNA
AL356791.1,ENSG00000277875,96,miRNA
AL442639.1,ENSG00000266429,86,miRNA
RP11-5P15.1,ENSG00000279256,1899,TEC
RP11-18A15.1,ENSG00000254261,39922,lincRNA
SNORA31,ENSG00000252580,132,snoRNA
RP11-337A23.6,ENSG00000253400,4130,lincRNA
CAAP1,ENSG00000120159,52120,protein_coding
RP11-337A23.5,ENSG00000232466,372,processed_pseudogene
RN7SL100P,ENSG00000240306,293,misc_RNA
PLAA,ENSG00000137055,43381,protein_coding
IFT74,ENSG00000096872,115892,protein_coding
IFT74-AS1,ENSG00000234676,516,antisense
LRRC19,ENSG00000184434,12558,protein_coding
RP11-56F10.3,ENSG00000254396,2099,lincRNA
TEK,ENSG00000120156,121035,protein_coding
RNA5SP280,ENSG00000223162,115,rRNA
RP11-179D22.1,ENSG00000232867,300,processed_pseudogene
LINC00032,ENSG00000231459,37110,lincRNA
EQTN,ENSG00000120160,12481,protein_coding
MOB3B,ENSG00000120162,204573,protein_coding
RP11-298E2.2,ENSG00000237734,5830,antisense
IFNK,ENSG00000147896,2185,protein_coding
C9ORF72,ENSG00000147894,27322,protein_coding
CTAGE12P,ENSG00000215441,2364,processed_pseudogene
RP11-575I8.1,ENSG00000260390,15206,lincRNA
RP11-438B23.2,ENSG00000260412,6881,sense_overlapping
LINGO2,ENSG00000174482,722209,protein_coding
RP11-20P5.2,ENSG00000229060,1026,processed_pseudogene
KCTD10P1,ENSG00000224955,625,processed_pseudogene
MIR876,ENSG00000215966,81,miRNA
MIR873,ENSG00000215939,110,miRNA
RP11-373A6.1,ENSG00000230276,352,processed_pseudogene
RP11-275A14.1,ENSG00000277646,1120,processed_pseudogene
RP11-48L13.1,ENSG00000229834,368,processed_pseudogene
ME2P1,ENSG00000230097,1970,processed_pseudogene
LINC01242,ENSG00000280683,186078,lincRNA
SLC4A1APP1,ENSG00000232060,602,processed_pseudogene
C2ORF27AP2,ENSG00000239792,1003,unprocessed_pseudogene
RBMXP2,ENSG00000215210,1168,processed_pseudogene
AL590726.2,ENSG00000221111,103,miRNA
KRT18P66,ENSG00000235626,1269,processed_pseudogene
AL590726.1,ENSG00000211510,92,miRNA
KRT18P36,ENSG00000226246,1276,processed_pseudogene
RPS26P2,ENSG00000233278,348,processed_pseudogene
FTLP4,ENSG00000214020,493,processed_pseudogene
HSPA8P17,ENSG00000228557,2488,processed_pseudogene
RP11-572H4.1,ENSG00000223421,1363,processed_pseudogene
SLC25A6P2,ENSG00000232203,877,processed_pseudogene
AL353783.1,ENSG00000274793,68,miRNA
LINC01243,ENSG00000260720,9880,lincRNA
RP11-291J9.1,ENSG00000226998,664,unprocessed_pseudogene
RP11-291J9.2,ENSG00000229080,670,unprocessed_pseudogene
HMGB3P23,ENSG00000235148,585,processed_pseudogene
RNA5SP281,ENSG00000252313,135,rRNA
SLC25A5P8,ENSG00000225347,898,processed_pseudogene
ACO1,ENSG00000122729,70167,protein_coding
DDX58,ENSG00000107201,70620,protein_coding
TOPORS,ENSG00000197579,12010,protein_coding
TOPORS-AS1,ENSG00000235453,15862,antisense
NDUFB6,ENSG00000165264,20186,protein_coding
DFFBP1,ENSG00000232303,979,processed_pseudogene
GVQW1,ENSG00000241043,1833,protein_coding
TAF1L,ENSG00000122728,6216,protein_coding
RP11-555J4.4,ENSG00000223440,15232,antisense
RP11-555J4.3,ENSG00000230516,1924,lincRNA
SNRPCP1,ENSG00000238001,458,processed_pseudogene
RP11-462B18.1,ENSG00000230867,454,processed_pseudogene
AL157884.1,ENSG00000221696,127,miRNA
TMEM215,ENSG00000188133,3901,protein_coding
Y_RNA,ENSG00000272113,90,misc_RNA
RP11-462B18.3,ENSG00000236796,33021,unprocessed_pseudogene
RP11-462B18.2,ENSG00000231193,1165,lincRNA
BOLA3P4,ENSG00000223807,400,processed_pseudogene
ASS1P12,ENSG00000237437,1227,processed_pseudogene
APTX,ENSG00000137074,52563,protein_coding
TCEA1P4,ENSG00000236184,844,processed_pseudogene
LAGE3P1,ENSG00000225693,484,processed_pseudogene
DNAJA1,ENSG00000086061,14697,protein_coding
SMU1,ENSG00000122692,34896,protein_coding
AL162590.1,ENSG00000222169,108,miRNA
B4GALT1,ENSG00000086062,63275,protein_coding
B4GALT1-AS1,ENSG00000233554,13009,antisense
RNU4ATAC15P,ENSG00000252224,126,snRNA
SPINK4,ENSG00000122711,30203,protein_coding
BAG1,ENSG00000107262,16944,protein_coding
CHMP5,ENSG00000086065,17191,protein_coding
NFX1,ENSG00000086102,80647,protein_coding
Y_RNA,ENSG00000200544,87,misc_RNA
AQP7,ENSG00000165269,19504,protein_coding
RP11-311H10.4,ENSG00000223678,7092,antisense
AQP3,ENSG00000165272,6458,protein_coding
RP11-311H10.7,ENSG00000270542,187,processed_pseudogene
NOL6,ENSG00000165271,12490,protein_coding
MIR6851,ENSG00000275651,67,miRNA
SUGT1P,ENSG00000226823,7057,unprocessed_pseudogene
RP11-255A11.2,ENSG00000228072,1815,antisense
ANKRD18B,ENSG00000230453,48616,protein_coding
RP11-255A11.4,ENSG00000225123,228,processed_pseudogene
SNX18P7,ENSG00000234373,635,processed_pseudogene
CYP4F26P,ENSG00000226562,24599,lincRNA
PRSS3P4,ENSG00000204982,162,unprocessed_pseudogene
TRBV20OR9-2,ENSG00000205274,745,TR_V_gene
ANXA2P2,ENSG00000231991,1020,processed_pseudogene
TRBV21OR9-2,ENSG00000183938,466,TR_V_gene
TRBV22OR9-2,ENSG00000234122,136,TR_V_pseudogene
TRBV23OR9-2,ENSG00000229063,460,TR_V_gene
TRBV24OR9-2,ENSG00000215206,568,TR_V_pseudogene
